ranking,club name,country,point score,1 year change,symbol change
1295,Albion F.C.,Uruguay,1315,334,-
1481,Albirex Niigata,Japan,1298,23,-
466,Aldosivi,Argentina,1443,53,+
1501,Alianza,Panama,1296,507,+
1313,Alianza Atl��tico,Peru,1312,423,+
328,Alianza FC,El Salvador,1486,6,+
495,Alianza Lima,Peru,1435,507,+
691,Alianza Petrolera,Colombia,1394,964,+
1658,Alianza Universidad Huanuco,Peru,1283,580,-
2240,Alkali Nassara,Niger,1242,39,-
2664,Alki,Cyprus,1194,10,-
1503,Alki Oroklinis,Cyprus,1296,20,-
555,All Boys,Argentina,1422,3,-
411,Almer��a,Spain,1459,11,-
2518,Alpha United,Guyana,1219,27,-
1277,Altay S.K.,Turkey,1317,316,-
1488,Aluminij,Slovenia,1297,722,-
1118,Aluminium Arak,Iran,1334,8,+
1462,Aluminium Hormozgan,Iran,1299,27,-
457,Always Ready,Bolivia,1446,32,+
839,AmaZulu FC,South Africa,1369,25,+
132,Am��rica,Mexico,1590,29,-
573,Am��rica de Cali,Colombia,1419,240,-
212,Am��rica Mineiro,Brazil,1537,264,+
1356,Amicale FC,Vanuatu,1308,4,-
2012,Amidaus Professionals FC,Ghana,1255,1,-
541,Amiens SC,France,1426,9,-
599,Amkar Perm',Russia,1411,5,-
2543,Anagennisi Deryneia,Cyprus,1216,24,-
2747,Andijon,Uzbekistan,1163,2,+
393,Angers,France,1464,6,+
1355,Ankarag��c��,Turkey,1308,4,-
2039,Ankaran Hrvatini,Slovenia,1254,1,-
1149,Annaba,Algeria,1330,4,-
279,Anorthosis,Cyprus,1505,4,+
570,Antigua Guatemala,Guatemala,1419,237,+
1636,AOK Kerkyra,Greece,1286,15,-
895,Apejes de Mfou,Cameroon,1360,55,-
2179,APEP,Cyprus,1246,41,-
227,APOEL Nicosia,Cyprus,1530,16,-
134,Apollon Limassol,Cyprus,1587,28,-
2444,Apollon Smyrnis,Greece,1225,516,-
2064,APOP / Kinyras,Cyprus,1253,1,-
1164,��rabe Unido,Panama,1328,282,-
1482,Aragua FC,Venezuela,1298,86,+
2130,Ararat-Armenia FC,Armenia,1249,46,-
2224,Araz PFK,Azerbaijan,1243,40,-
2031,Arcahaie FC,Haiti,1254,0,-
2728,Ards,Northern Ireland,1174,6,-
821,Arema,Indonesia,1371,184,+
226,Argentinos Juniors,Argentina,1530,80,-
1120,Arge? Pite?ti,Romania,1333,7,-
881,Aris Limassol,Cyprus,1362,967,+
236,Aris Thessaloniki FC,Greece,1526,94,+
1014,Arles,France,1344,11,-
2277,Armed Forces,Singapore,1240,38,-
1828,Army United,Thailand,1269,12,-
1353,Arnett Gardens,Jamaica,1308,16,+
908,Arouca,Portugal,1359,165,-
2734,Arrows,India,1171,5,-
22,Arsenal,England,1793,3,-
577,Arsenal de Sarand��,Argentina,1418,313,-
804,Arsenal Tula,Russia,1374,52,-
2602,Art Municipal Jalapa,Nicaragua,1208,28,-
1346,AS A?n M'lila,Algeria,1308,209,-
2336,AS Avenir de Tombouctou,Mali,1235,39,-
1992,AS Bamako,Mali,1257,3,-
2491,AS Eliwidj FC,Mali,1221,30,-
872,AS Fortuna,Cameroon,1364,33,+
2135,AS Kasserine,Tunisia,1249,42,-
1729,AS Korofina,Mali,1277,0,-
2525,AS Lossi,New Caledonia,1218,27,-
1119,AS Magenta,New Caledonia,1334,7,-
1775,AS Matelots,Cameroon,1272,2,-
2184,AS Nianan,Mali,1246,43,-
740,AS Nika,Congo DR,1385,19,-
2108,AS Nyuki de Butembo,Denmark,1250,0,-
2087,AS Police,Mali,1251,2,-
2042,AS Puma Generale��a,Costa Rica,1254,1,-
591,AS R��al Bamako,Mali,1415,7,-
1109,AS Rejiche,Tunisia,1335,5,+
1870,AS Sal��,Morocco,1266,9,-
1145,AS Slimane,Tunisia,1330,18,-
1252,AS Tanda,Ivory Coast,1319,2,-
1975,AS-FAN,Niger,1259,2,-
493,Asante Kotoko,Ghana,1436,22,+
287,ASD Spezia Calcio 2008,Italy,1502,69,-
368,ASEC Mimosas,Ivory Coast,1471,95,+
1290,ASGNN,Niger,1315,5,-
856,Ashanti Gold FC,Ghana,1366,116,-
1561,ASI D'Abengourou,Ivory Coast,1290,165,-
2290,ASM Oran,Algeria,1239,44,-
860,ASO Chlef,Algeria,1366,318,+
1378,Asoc. Dep. y Rec. Jicaral Sercoba,Costa Rica,1305,339,-
1066,Asociaci��n Deportiva Tarma (ADT),Peru,1340,105,-
1469,Assyriska,Sweden,1298,29,-
639,Asteras Tripolis,Greece,1402,243,-
77,Aston Villa,England,1652,2,+
679,Astra Ploie?ti,Romania,1395,8,-
649,Astres FC de Douala,Cameroon,1401,452,+
2355,Aswan FC,Egypt,1233,350,-
2186,Asyut Petrol,Egypt,1246,44,-
36,Atalanta,Italy,1726,22,-
2608,Atar Club,Mali,1207,15,-
1822,Atenas,Uruguay,1269,11,-
1809,Atheltic Club Port of Spain,Trinidad and Tobago,1270,8,-
52,Athletic Bilbao,Spain,1694,25,+
1871,Athlone Town,Ireland,1266,9,-
715,Atlanta United FC,United States,1390,118,-
1198,Atlante,Mexico,1325,7,-
240,Atlas,Mexico,1525,341,+
1911,Atl��tico Balboa,El Salvador,1263,5,-
2278,Atl��tico Chiriqu��,Panama,1240,173,+
1430,Atl��tico Choloma,Honduras,1301,2,-
1808,Atl��tico de Kolkata,India,1270,8,-
2201,Atl��tico do Namibe,Angola,1245,40,-
2484,Atl��tico El Vig��a,Venezuela,1222,31,-
103,Atl��tico Goianiense,Brazil,1620,33,+
1668,Atl��tico Huila,Colombia,1283,639,-
10,Atl��tico Madrid,Spain,1852,1,-
2581,Atl��tico Marte,El Salvador,1211,14,-
33,Atl��tico Mineiro,Brazil,1750,26,+
181,Atl��tico Nacional,Colombia,1556,118,+
309,Atletico Petro Luanda,Angola,1492,247,+
97,Atl��tico PR,Brazil,1626,28,-
561,Atl��tico Rafaela,Argentina,1420,4,-
634,Atl��tico San Luis,Mexico,1403,517,+
2452,Atletico Socopo,Venezuela,1225,26,-
1868,Atl��tico Sport Avia??o,Angola,1266,9,-
571,Atl��tico Tucum��n,Argentina,1419,330,-
1874,Atl��tico Venezuela,Venezuela,1265,150,+
2559,Atl��tico Verag��ense,Panama,1215,22,-
884,Atromitos,Greece,1362,270,-
1665,?tvidaberg,Sweden,1283,11,-
1518,Atyrau,Kazakhstan,1294,51,+
383,Aucas,Ecuador,1468,165,+
141,Auckland City,New Zealand,1582,6,-
603,Audax Italiano La Florida,Chile,1409,38,-
161,Augsburg,Germany,1569,101,+
1756,Aurora,Bolivia,1274,30,+
1210,Austin FC,Uruguay,1324,269,-
2583,Austria K?rnten,Austria,1211,19,-
550,Austria Wien,Austria,1424,181,+
406,Auxerre,France,1461,11,-
749,Ava�� FC,Brazil,1383,194,+
1316,Avenir de La Marsa,Tunisia,1312,5,-
1402,Avion Fc Du Nkam,Cameroon,1303,247,+
1202,Avispa Fukuoka,Japan,1325,604,+
1023,Ayacucho FC,Peru,1343,579,-
2724,Ayia Napa,Cyprus,1175,5,-
91,AZ Alkmaar,Netherlands,1633,41,-
1458,AZAL PFC Baku,Azerbaijan,1299,26,-
2137,Azam,Tanzania,1249,42,-
1787,Ba,Fiji,1272,8,-
2343,Babeti ya Sika,Congo DR,1234,39,-
192,Bahia,Brazil,1548,7,-
1373,Bakaridjan de Barou��li,Mali,1306,6,-
1153,Bak?,Azerbaijan,1330,6,-
442,Bala Town FC,Wales,1451,49,+
806,Bali United,Indonesia,1373,297,+
1205,Bal?kesirspor,Turkey,1325,7,-
2696,Ballinamallard United,Northern Ireland,1187,8,-
1909,Ballymena United,Northern Ireland,1263,85,-
1282,Balmaz��jv��ros,Hungary,1316,6,-
765,Bamboutos,Cameroon,1381,62,+
455,Banfield,Argentina,1447,112,-
2710,Banga Gargzdai,Lithuania,1181,14,+
502,Bangkok United,Thailand,1434,24,+
510,Bangor City,Wales,1432,5,-
319,Ban��k Ostrava,Czech Republic,1488,118,+
1093,Baniyas,United Arab Emirates,1337,207,-
2431,Bantous,Congo DR,1227,29,-
2393,Bantu Rovers,Zimbabwe,1230,32,-
2633,Barbican FC,Jamaica,1203,10,-
11,Barcelona,Spain,1851,4,-
170,Barcelona SC,Ecuador,1565,98,-
667,Bari,Italy,1398,4,-
1872,Barito Putera,Indonesia,1266,67,-
1861,Barnechea,Chile,1267,16,-
1884,Baroka FC,South Africa,1265,318,-
435,Barracas Central,Argentina,1452,1,+
1533,Barrio M��xico,Costa Rica,1292,30,-
1546,Barry Town United FC,Wales,1292,233,-
92,BATE Borisov,Belarus,1632,13,+
1279,Bayam��n FC,Puerto Rico,1316,4,-
1497,Bayelsa United,Nigeria,1296,19,-
18,Bayer Leverkusen,Germany,1802,37,+
4,Bayern M��nchen,Germany,1955,3,-
2683,BBCU FC,Thailand,1190,8,-
1396,Bechem United,Ghana,1303,335,+
480,Beijing Guoan,China PR,1439,259,-
2316,Beijing Renhe,China PR,1237,40,-
1021,Beira-Mar,Portugal,1343,10,-
845,Beitar Jerusalem FC,Israel,1367,227,-
2626,Bekaa SC,Lebanon,1203,10,-
1733,Bekescsaba,Hungary,1276,1,-
1762,Be?chat��w,Poland,1274,0,-
1611,Bel��n Siglo XXI,Costa Rica,1287,20,-
932,Belenenses,Portugal,1356,373,-
359,Belgrano,Argentina,1474,2,-
1136,Bella Vista,Uruguay,1331,0,-
2312,Bellinzona,Switzerland,1237,42,-
1742,Belshina Bobruisk,Belarus,1275,83,+
949,Ben Guerdane,Tunisia,1354,156,-
1288,Bendel Insurance,Nigeria,1315,6,-
607,Benevento,Italy,1408,10,-
17,Benfica,Portugal,1803,5,+
987,Benfica Luanda,Angola,1349,4,-
959,Bengaluru FC,India,1353,19,-
1894,B��ni-Khalled,Tunisia,1264,3,-
2726,Berane,Montenegro,1174,6,-
1952,Berekum Arsenal,Ghana,1260,5,-
1082,Berekum Chelsea FC,Ghana,1339,122,-
474,Beroe,Bulgaria,1441,102,-
253,Be?ikta?,Turkey,1517,154,-
2762,BFC Daugavpils,Latvia,1142,1,-
350,BG Pathum United,Thailand,1477,136,+
927,Bhayangkara FC,Indonesia,1357,184,+
2027,Bibiani Gold Stars F.C.,Ghana,1255,80,+
443,Bidvest Wits,South Africa,1451,12,-
2210,Binh Duong,Vietnam,1244,41,-
294,Birmingham City,England,1498,3,-
404,BK H?cken,Sweden,1462,11,-
2587,Black Leopards,South Africa,1209,13,-
1806,Black Mambas,Zimbabwe,1270,9,-
1840,Black Rhinos,Zimbabwe,1268,216,+
413,Blackburn Rovers F.C.,England,1459,12,-
378,Blackpool,England,1469,8,-
1939,Blessing FC,Congo DR,1261,91,+
1101,Bloemfontein Celtic,South Africa,1336,52,-
1187,Blooming,Bolivia,1326,190,-
1208,Bnei Sakhnin,Israel,1324,570,+
1012,Bnei Yehuda Tel Aviv FC,Israel,1345,9,-
485,Boavista,Portugal,1438,11,-
83,Boca Juniors,Argentina,1649,41,-
165,Bochum,Germany,1567,467,+
151,Bod? / Glimt,Norway,1574,75,+
553,Bohemian FC,Ireland,1423,89,-
728,Bohemians 1905,Czech Republic,1388,238,-
182,Bol��var,Bolivia,1555,119,+
160,Bologna,Italy,1569,28,+
1486,Bolognesi,Peru,1297,23,-
356,Bolton Wanderers,England,1475,2,-
2526,Bontang PKT,Indonesia,1218,27,-
726,Borac Banja Luka,Bosnia and Herzegovina,1388,29,+
2521,Borac ?a?ak,Serbia,1218,27,-
562,Bordeaux,France,1420,248,-
23,Borussia Dortmund,Germany,1791,11,-
71,Borussia M?nchengladbach,Germany,1658,22,-
572,Boston River,Uruguay,1419,587,+
1181,Botafogo FC,Cameroon,1327,6,-
513,Botafogo FR,Brazil,1432,245,+
499,Botev Plovdiv,Bulgaria,1434,211,+
1507,Botev Vratsa,Bulgaria,1295,174,-
618,Boto?ani,Romania,1407,51,+
1926,Bouak�� FC,Ivory Coast,1262,85,-
683,Boulogne,France,1394,7,-
1411,Boyac�� Chic�� FC,Colombia,1302,2,-
2732,Boys' Town,Jamaica,1172,6,-
68,Braga,Portugal,1662,27,+
410,Brasilia,Brazil,1459,12,-
1158,Bra?ov,Romania,1329,5,-
2313,Bray Wanderers,Ireland,1237,42,-
99,Brentford FC,England,1624,192,+
795,Brescia,Italy,1375,21,-
322,Brest,France,1487,111,+
58,Brighton & Hove Albion,England,1685,42,+
1480,Brisbane Roar FC,Australia,1298,256,-
2654,Brommapojkarna,Sweden,1197,10,-
430,Br?ndby,Denmark,1453,105,-
2638,Brong Ahafo Stars,Ghana,1201,10,-
1343,Brujas,Costa Rica,1309,0,-
1949,BSK Bor?a,Serbia,1260,4,-
1534,Bucaspor,Turkey,1292,30,-
2097,Budafoki MTE,Hungary,1250,3,-
374,Budu?nost,Montenegro,1470,18,-
1900,Buffaloes FC,Zimbabwe,1263,5,-
1993,Buildcon,Zambia,1257,83,-
2306,Bukavu Dawa,Congo DR,1237,45,-
1206,Bukola Babes,Nigeria,1325,7,-
1969,Bulawayo Chiefs,Zimbabwe,1259,138,+
2309,Bulawayo City FC,Zimbabwe,1237,203,-
681,Bunyodkor Tashkent,Uzbekistan,1395,59,-
232,Buriram United,Thailand,1527,13,+
164,Burnley,England,1567,27,-
787,Bursaspor,Turkey,1376,19,-
1350,Busan I'Park,South Korea,1308,2,-
2490,Buxoro,Uzbekistan,1221,30,-
1333,C.A. Cerro,Uruguay,1310,1,-
1703,C.D. Hermanos Colmenarez,Venezuela,1279,271,+
2152,C.D. Honduras Progreso,Honduras,1248,294,+
2051,C.D. Lunda Sul,Angola,1253,56,+
2025,CA Batna,Algeria,1255,1,-
921,CA Bizertin,Tunisia,1357,89,+
2493,CA Bordj Bou Arreridj,Algeria,1221,291,-
354,CA Central Cordoba,Argentina,1476,15,+
1086,CA Palmaflor,Bolivia,1338,12,-
1943,Cabinda,Angola,1260,2,-
112,C��diz CF,Spain,1608,62,+
687,Caen,France,1394,8,-
1499,Caernarfon,Wales,1296,119,+
2663,Caersws,Wales,1195,10,-
327,Cagliari,Italy,1487,145,-
2745,Caguas Hurac��n,Puerto Rico,1165,1,-
1523,Ca?man Douala,Cameroon,1293,31,-
2505,Caledonia AIA,Trinidad and Tobago,1220,30,-
982,Cambuur,Netherlands,1349,638,+
2054,Canon Buromeca,Congo DR,1253,1,-
942,Canon Sportif,Cameroon,1354,430,+
1103,Canterbury United,New Zealand,1336,17,-
1545,Capaco,Congo DR,1292,30,-
671,Cape Town City FC,South Africa,1397,90,+
840,CAPS United,Zimbabwe,1368,135,-
1108,Carabobo FC,Venezuela,1335,86,+
492,Caracas,Venezuela,1436,4,+
364,Cardiff City,England,1472,4,-
1177,Cardiff Met University,Wales,1328,49,+
743,Carlos A. Mannucci,Peru,1385,142,-
1731,Carmarthen,Wales,1277,1,-
2640,Carolina Gigantes,Puerto Rico,1201,12,-
2601,Caron��,Venezuela,1208,17,-
231,Carpi,Italy,1528,3,-
2760,Carrick Rangers,Northern Ireland,1144,1,-
648,Cartagin��s,Costa Rica,1401,39,+
2487,CAS de S��var��,Mali,1222,30,-
307,Catania,Italy,1494,1,-
1393,Cavaliers FC,Jamaica,1303,361,+
2370,Cavaly,Haiti,1232,264,-
1311,CD America de Quito,Ecuador,1313,5,-
663,CD Antofagasta,Chile,1398,113,-
2244,CD Audaz,El Salvador,1242,39,-
1839,CD Chalatenango,El Salvador,1268,383,+
1866,CD das Aves,Portugal,1266,11,-
1735,CD EL Vencedor,El Salvador,1276,2,-
1087,CD FAS,El Salvador,1338,51,-
773,CD Jaguares,Colombia,1379,184,+
2560,CD Junior Managua,Nicaragua,1215,22,-
2621,CD Ocotal,Nicaragua,1204,27,-
2438,CD Olmedo,Ecuador,1226,1231,-
2590,CD Petapa,Guatemala,1209,19,-
1719,CD Platense Municipal,El Salvador,1277,388,+
863,CD Plaza Amador,Panama,1366,61,+
2318,CD Real de Minas,Honduras,1236,41,-
362,CD Santa Clara,Portugal,1473,21,-
2565,CD Sonsonate,El Salvador,1214,23,-
913,CD UT Cajamarca,Peru,1358,224,-
834,CD Vida,Honduras,1369,350,+
2040,Ceahl?ul Piatra,Romania,1254,1,-
79,Cear�� SC,Brazil,1650,36,+
2735,Cefn Druids AFC,Wales,1170,299,-
1715,?elik Nik?i?,Montenegro,1278,3,-
1990,?elik Zenica,Bosnia and Herzegovina,1257,3,-
66,Celta Vigo,Spain,1668,9,-
47,Celtic,Scotland,1698,29,+
1367,Central,Trinidad and Tobago,1307,4,-
2075,Central Coast Mariners FC,Australia,1252,457,+
977,Central Espa?ol,Uruguay,1350,0,-
1989,Central Sport,Syria,1257,3,-
1477,Centre Salif K��ita,Mali,1298,25,-
2411,Centro ��talo,Venezuela,1228,32,-
1222,Ceramica Cleopatra,Egypt,1323,66,-
708,Cercle Brugge,Belgium,1390,810,+
397,Cerezo Osaka,Japan,1463,5,+
1494,Cerrito,Uruguay,1296,53,+
733,Cerro Largo,Uruguay,1387,180,-
133,Cerro Porte?o,Paraguay,1588,37,+
1447,Cerro Porte?o PF,Paraguay,1299,28,-
907,Cesena,Italy,1359,11,-
956,?esk�� Bud��jovice,Czech Republic,1353,112,+
874,CF Montreal,Canada,1364,418,+
140,CF Pachuca,Mexico,1583,59,+
2568,CF Ungheni,Moldova,1213,23,-
102,CFR Cluj,Romania,1622,8,-
1489,Chabab Atlas Kh��nifra,Morocco,1297,22,-
1754,Chabab Rif Al Hoceima,Morocco,1274,2,-
1074,Chacarita Juniors,Argentina,1339,11,-
1910,Chainat FC,Thailand,1263,5,-
2311,Chambishi FC,Zambia,1237,205,-
801,Changchun Yatai,China PR,1374,309,+
1084,Chapecoense AF,Brazil,1338,611,-
1763,Chapungu United,Zimbabwe,1273,0,-
1015,Charlotte FC,Uruguay,1344,54,-
718,Chaves,Portugal,1389,17,-
8,Chelsea FC,England,1879,3,-
1773,Chengdu Blades,China PR,1272,2,-
1544,Chengdu Rongcheng F.C.,China PR,1292,103,-
1936,Chennai City FC,India,1261,2,-
1972,Chennaiyin FC,India,1259,3,-
1555,Chepo FC,Panama,1291,26,-
355,Cherno More Varna,Bulgaria,1475,68,+
739,Chernomorets Burgas,Bulgaria,1386,19,-
2321,Chiangmai FC,Thailand,1236,40,-
